test_date,symbol,option_type,strike,strategy,score_pct,entry_time_ist,exit_time_ist,entry_ltp,exit_ltp,trailing_sl,pnl_pct,outcome,exit_reason
2025-03-05,NIFTY 5 MAR 22300 CE,CE,22300,General Buy / Sell,85.0,11:37:00 IST,11:43:00 IST,17.91,19.075,4.07,6.5,Success,time_cutoff_6m
2025-03-05,NIFTY 5 MAR 22350 CE,CE,22350,General Buy / Sell,85.0,12:02:00 IST,12:14:00 IST,16.31,17.925,6.82,9.9,Success,time_cutoff_12m
2025-03-05,NIFTY 5 MAR 22350 PE,PE,22350,General Buy / Sell,85.0,13:07:00 IST,13:13:00 IST,2.41,1.8,-12.59,-25.31,Failure,time_cutoff_6m
2025-03-05,NIFTY 5 MAR 22300 PE,PE,22300,General Buy / Sell,85.0,14:20:00 IST,14:26:00 IST,0.3,0.3,-14.7,0.0,Failure,time_cutoff_6m
2025-03-06,NIFTY 6 MAR 22350 CE,CE,22350,General Buy / Sell,85.0,10:33:00 IST,10:39:00 IST,82.05,79.4125,67.05,-3.21,Failure,time_cutoff_6m
2025-03-06,NIFTY 6 MAR 22400 CE,CE,22400,General Buy / Sell,85.0,11:07:00 IST,11:13:00 IST,71.82,72.35,57.35,0.74,Success,time_cutoff_6m
2025-03-06,NIFTY 6 MAR 22350 PE,PE,22350,General Buy / Sell,85.0,11:28:00 IST,11:34:00 IST,12.69,13.3375,-1.66,5.1,Success,time_cutoff_6m
2025-03-06,NIFTY 6 MAR 22450 CE,CE,22450,General Buy / Sell,85.0,12:52:00 IST,12:58:00 IST,53.66,51.3625,38.66,-4.28,Failure,time_cutoff_6m
2025-03-06,NIFTY 6 MAR 22500 CE,CE,22500,General Buy / Sell,85.0,14:05:00 IST,14:11:00 IST,43.8,43.5875,28.8,-0.49,Failure,time_cutoff_6m
2025-03-07,NIFTY 7 MAR 22600 PE,PE,22600,General Buy / Sell,85.0,11:42:00 IST,12:06:00 IST,33.95,42.875,27.88,26.29,Success,time_cutoff_24m
2025-03-07,NIFTY 7 MAR 22550 PE,PE,22550,General Buy / Sell,85.0,12:08:00 IST,12:14:00 IST,36.85,36.3375,21.85,-1.39,Failure,time_cutoff_6m
2025-03-10,NIFTY 10 MAR 22600 PE,PE,22600,General Buy / Sell,85.0,12:04:00 IST,12:16:00 IST,48.23,49.0,36.25,1.6,Success,time_cutoff_12m
2025-03-10,NIFTY 10 MAR 22600 CE,CE,22600,General Buy / Sell,95.0,13:12:00 IST,13:18:00 IST,12.37,11.9375,-2.63,-3.5,Failure,time_cutoff_6m
2025-03-10,NIFTY 10 MAR 22550 PE,PE,22550,General Buy / Sell,85.0,13:49:00 IST,13:55:00 IST,35.49,34.1875,21.45,-3.67,Failure,time_cutoff_6m
2025-03-10,NIFTY 10 MAR 22500 PE,PE,22500,General Buy / Sell,85.0,14:27:00 IST,14:33:00 IST,25.36,24.8625,10.36,-1.96,Failure,time_cutoff_6m
2025-03-11,NIFTY 11 MAR 22450 PE,PE,22450,General Buy / Sell,95.0,11:24:00 IST,11:36:00 IST,23.07,28.05,13.05,21.59,Success,time_cutoff_12m
2025-03-12,NIFTY 12 MAR 22400 PE,PE,22400,General Buy / Sell,95.0,11:05:00 IST,11:11:00 IST,1.81,1.65,-13.19,-8.84,Failure,time_cutoff_6m
2025-03-12,NIFTY 12 MAR 22350 PE,PE,22350,General Buy / Sell,95.0,12:00:00 IST,12:06:00 IST,1.86,1.5625,-13.14,-15.99,Failure,time_cutoff_6m
2025-03-13,NIFTY 13 MAR 22500 PE,PE,22500,General Buy / Sell,95.0,11:01:00 IST,11:07:00 IST,11.31,7.4625,-3.69,-34.02,Failure,time_cutoff_6m
2025-03-17,NIFTY 17 MAR 22500 PE,PE,22500,General Buy / Sell,85.0,10:18:00 IST,10:24:00 IST,9.32,9.575,-5.43,2.74,Success,time_cutoff_6m
2025-03-17,NIFTY 17 MAR 22500 CE,CE,22500,General Buy / Sell,85.0,11:39:00 IST,11:45:00 IST,80.85,79.6,65.85,-1.55,Failure,time_cutoff_6m
2025-03-18,NIFTY 18 MAR 22750 CE,CE,22750,General Buy / Sell,85.0,11:34:00 IST,11:40:00 IST,48.98,49.125,36.02,0.3,Success,time_cutoff_6m
2025-03-18,NIFTY 18 MAR 22750 PE,PE,22750,General Buy / Sell,85.0,12:29:00 IST,12:35:00 IST,8.36,7.95,-6.53,-4.9,Failure,time_cutoff_6m
2025-03-19,NIFTY 19 MAR 22900 CE,CE,22900,General Buy / Sell,85.0,10:37:00 IST,10:43:00 IST,41.95,40.4625,26.95,-3.55,Failure,time_cutoff_6m
2025-03-19,NIFTY 19 MAR 22900 PE,PE,22900,General Buy / Sell,95.0,11:27:00 IST,11:33:00 IST,2.05,1.7875,-12.95,-12.8,Failure,time_cutoff_6m
2025-03-20,NIFTY 20 MAR 23000 PE,PE,23000,General Buy / Sell,85.0,10:09:00 IST,10:15:00 IST,10.61,10.35,-4.39,-2.45,Failure,time_cutoff_6m
2025-03-20,NIFTY 20 MAR 23150 CE,CE,23150,General Buy / Sell,85.0,13:22:00 IST,13:28:00 IST,74.64,76.5625,61.56,2.58,Success,time_cutoff_6m
2025-03-20,NIFTY 20 MAR 23200 PE,PE,23200,General Buy / Sell,85.0,14:20:00 IST,14:26:00 IST,15.63,14.7125,0.63,-5.87,Failure,time_cutoff_6m
2025-03-21,NIFTY 21 MAR 23350 PE,PE,23350,General Buy / Sell,85.0,11:47:00 IST,11:53:00 IST,35.7,33.35,20.7,-6.58,Failure,time_cutoff_6m
2025-03-21,NIFTY 21 MAR 23350 CE,CE,23350,General Buy / Sell,85.0,12:05:00 IST,12:11:00 IST,38.95,37.2375,23.95,-4.4,Failure,time_cutoff_6m
2025-03-21,NIFTY 21 MAR 23300 PE,PE,23300,General Buy / Sell,85.0,13:57:00 IST,14:03:00 IST,28.39,27.6,13.39,-2.78,Failure,time_cutoff_6m
2025-03-24,NIFTY 24 MAR 23650 PE,PE,23650,General Buy / Sell,95.0,13:04:00 IST,13:10:00 IST,19.19,18.9375,4.82,-1.32,Failure,time_cutoff_6m
2025-03-25,NIFTY 25 MAR 23700 CE,CE,23700,General Buy / Sell,85.0,13:39:00 IST,13:45:00 IST,11.14,8.075,-3.86,-27.51,Failure,time_cutoff_6m
2025-03-26,NIFTY 26 MAR 23650 PE,PE,23650,General Buy / Sell,85.0,09:48:00 IST,10:00:00 IST,25.38,18.8,16.3,-25.93,Failure,time_cutoff_12m
2025-03-26,NIFTY 26 MAR 23600 PE,PE,23600,General Buy / Sell,85.0,12:00:00 IST,12:06:00 IST,4.62,5.4375,-9.56,17.69,Success,time_cutoff_6m
2025-03-27,NIFTY 27 MAR 23600 CE,CE,23600,General Buy / Sell,85.0,10:19:00 IST,10:25:00 IST,33.89,33.8875,20.36,-0.01,Failure,time_cutoff_6m
2025-03-27,NIFTY 27 MAR 23600 PE,PE,23600,General Buy / Sell,85.0,12:03:00 IST,12:09:00 IST,31.84,31.6625,16.84,-0.56,Failure,time_cutoff_6m
2025-03-28,NIFTY 28 MAR 23600 CE,CE,23600,General Buy / Sell,85.0,10:42:00 IST,10:54:00 IST,45.55,46.7625,34.17,2.66,Success,time_cutoff_12m
2025-03-28,NIFTY 28 MAR 23600 PE,PE,23600,General Buy / Sell,85.0,11:17:00 IST,11:23:00 IST,32.46,32.95,17.95,1.51,Success,time_cutoff_6m
2025-03-28,NIFTY 28 MAR 23500 PE,PE,23500,General Buy / Sell,85.0,12:43:00 IST,12:49:00 IST,29.15,28.125,14.15,-3.52,Failure,time_cutoff_6m
